Parsing blog №38
07.06.10	00:00	xtavras        	Берлин            	GMT+3	0
05.06.10	13:49	h0rr0rr_drag0n 	Санкт-Петербург   	GMT+3	13
05.06.10	04:21	zarkone        	Барнаул           	GMT+6	7
04.06.10	21:23	wat_che        	Измаил            	GMT+3	21
04.06.10	21:17	wat_che        	Измаил            	GMT+3	21
04.06.10	20:39	LeXuS          	Киев              	GMT+3	20
04.06.10	20:08	total          	Барнаул           	GMT+6	23
04.06.10	12:38	wat_che        	Измаил            	GMT+3	12
04.06.10	12:31	Username       	Рязань            	GMT+3	12
04.06.10	12:02	wat_che        	Измаил            	GMT+3	12
01.06.10	14:41	blackraven     	None              	GMT+3	14
24.05.10	17:25	todeus         	Владивосток       	GMT+10	0
23.05.10	20:55	antigluk       	Винница           	GMT+3	20
21.05.10	00:53	dr_magnus      	Кременчуг         	GMT+3	0
16.05.10	04:28	DEViANCE       	Днепропетровск    	GMT+3	4
14.05.10	01:39	dr_magnus      	Кременчуг         	GMT+3	1
11.05.10	15:29	helios         	Екатеринбург      	GMT+5	17
11.05.10	13:56	ner_uto        	Тамбов            	GMT+3	13
09.05.10	22:46	stogerc        	Барановичи        	GMT+3	22
09.05.10	17:56	Zend           	Псков             	GMT+3	17
05.05.10	15:33	main           	Киев              	GMT+3	15
03.05.10	21:08	wildstyle      	Тула              	GMT+3	21
02.05.10	16:39	Ymilij         	Краснодар         	GMT+3	16
02.05.10	11:36	Ymilij         	Краснодар         	GMT+3	11
02.05.10	10:48	renya          	Арзамас           	GMT+3	10
01.05.10	00:29	Username       	Рязань            	GMT+3	0
23.04.10	15:33	Ymilij         	Краснодар         	GMT+3	15
03.04.10	17:32	Username       	Рязань            	GMT+3	17
30.03.10	16:04	Username       	Рязань            	GMT+3	16
30.03.10	11:41	knyazeff       	None              	GMT+3	11
17.02.10	18:20	SIO            	None              	GMT+3	18
17.02.10	04:59	kstep          	Минск             	GMT+3	4
15.02.10	23:39	kstep          	Минск             	GMT+3	23
15.02.10	13:12	igorp1024      	None              	GMT+3	13
07.02.10	21:51	digiwhite      	Санкт-Петербург   	GMT+3	21
06.02.10	18:11	digiwhite      	Санкт-Петербург   	GMT+3	18
06.02.10	16:24	kstep          	Минск             	GMT+3	16
06.02.10	03:24	kstep          	Минск             	GMT+3	3
05.02.10	13:41	dr_magnus      	Кременчуг         	GMT+3	13
04.02.10	00:14	mrded          	Омск              	GMT+6	3
03.02.10	15:40	igorp1024      	None              	GMT+3	15
03.02.10	12:11	igorp1024      	None              	GMT+3	12
01.02.10	18:17	m039           	None              	GMT+3	18
30.01.10	22:48	aspire89       	Пермь             	GMT+5	0
30.01.10	19:23	DEViANCE       	Днепропетровск    	GMT+3	19
23.01.10	23:08	stogerc        	Барановичи        	GMT+3	23
17.01.10	00:50	h0rr0rr_drag0n 	Санкт-Петербург   	GMT+3	0
15.01.10	23:11	mrded          	Омск              	GMT+6	2
